size_code,candidates,iterations,time_seconds,throughput_per_second,threads,cores
4096,409600000,1,1467.950094375,279028.55932877806,8,1
4096,409600000,1,1486.134458452,275614.3615878815,16,1
4096,409600000,1,1456.118493586,281295.788635493,1,2
4096,409600000,1,1275.643476073,321092.8505360538,2,2
4096,409600000,1,1274.358235626,321416.6853159568,4,2
4096,409600000,1,1276.385480204,320906.1888846739,8,2
4096,409600000,1,1274.909414373,321277.7279564142,16,2
4096,409600000,1,1455.523876836,281410.7047768831,1,4
4096,409600000,1,786.450008154,520821.40727728687,2,4
4096,409600000,1,680.651236493,601776.6192719057,4,4
4096,409600000,1,683.986598973,598842.141958645,8,4
4096,409600000,1,680.315969026,602073.1816517835,16,4
4096,409600000,1,1459.230002464,280695.98302417377,1,8
4096,409600000,1,785.79672406,521254.4000994394,2,8
4096,409600000,1,431.063284468,950208.5071000907,4,8
4096,409600000,1,379.734300011,1078648.9395035815,8,8
4096,409600000,1,383.566587251,1067871.9513489953,16,8
4096,409600000,1,1488.449121843,275185.75810830045,1,16
4096,409600000,1,795.951551001,514604.1860021269,2,16
4096,409600000,1,434.031997631,943709.2247475927,4,16
4096,409600000,1,251.986292682,1625485.2422346016,8,16
4096,409600000,1,225.244839932,1818465.6311046046,16,16
